domain,title_or_summary,verdict,reason,source_file,metadata_json,created_at
Test Domain GeoAI,Quantifying Urban Heat Island Mitigation via Geospatial AI: A Synthetic Control Approach for Green Infrastructure,selected,,output/topic_screening.json,"{""score"": 94, ""gap_type"": ""Measurement Gap""}",2026-03-12T16:51:31.881258
Test Domain GeoAI,Machine Learning-Based Evaluation of Digital Twin Precision in Smart City Sustainability Planning,selected,,output/topic_screening.json,"{""score"": 91, ""gap_type"": ""Method Gap""}",2026-03-12T16:51:31.881258
Test Domain GeoAI,Spatiotemporal Dynamics of OSINT-Derived Sentiment and its Correlation with Regional Conflict Intensity,selected,,output/topic_screening.json,"{""score"": 89, ""gap_type"": ""Problem Gap""}",2026-03-12T16:51:31.881258
GeoAI and Urban Planning,Quantifying the Impact of Micro-Urban Green Infrastructure on Neighborhood Thermal Regulation using Satellite-derived GeoAI,selected,,output/topic_screening.json,"{""score"": 92, ""gap_type"": ""Measurement Gap""}",2026-03-12T16:53:13.628644
GeoAI and Urban Planning,Predicting Gentrification Risk via High-Resolution GeoAI Spatiotemporal Modeling of Building Façade Changes,selected,,output/topic_screening.json,"{""score"": 88, ""gap_type"": ""Problem Gap""}",2026-03-12T16:53:13.628644
GeoAI and Urban Planning,GeoAI-driven Analysis of Public Transit Accessibility and Social Equity in Rapidly Expanding Metropolitan Areas,selected,,output/topic_screening.json,"{""score"": 85, ""gap_type"": ""Method Gap""}",2026-03-12T16:53:13.629229
GeoAI and Urban Planning,Quantifying the Causal Impact of Urban Blue-Space Expansion on Local Property Valuation using GeoAI-enhanced Hedonic Pricing Models,selected,,output/topic_screening.json,"{""score"": 94, ""gap_type"": ""Measurement Gap""}",2026-03-12T16:53:48.435723
GeoAI and Urban Planning,Machine Learning-based Detection of Illegal Urban Land-Use Conversion: A Multi-Temporal Satellite Analysis,selected,,output/topic_screening.json,"{""score"": 91, ""gap_type"": ""Method Gap""}",2026-03-12T16:53:48.436721
GeoAI and Urban Planning,Evaluating the Spatiotemporal Resilience of Urban Food Deserts to Crisis Events: A GeoAI-driven Network Analysis,selected,,output/topic_screening.json,"{""score"": 89, ""gap_type"": ""Problem Gap""}",2026-03-12T16:53:48.436721
GeoAI and Urban Planning,Quantifying the Causal Impact of Urban Blue-Space Expansion on Local Property Valuation using GeoAI-enhanced Hedonic Pricing Models,selected,,output/topic_screening.json,"{""score"": 94, ""gap_type"": ""Measurement Gap""}",2026-03-12T16:54:15.372368
